Name,Symbol,Sector,Industry,Market Cap,Current Price,Volume,Investor Website,Enterprise Value,Trailing EPS,Forward EPS,Dividend Yield,Price to Book,Enterprise to EBITDA,Return on Assets,Return on Equity
AllianceBernstein National Muni,AFB,Financial Services,Asset Management,312744512,10.88,43775,https://www.alliancebernstein.com/funds/us/closed-end/fixed-income/national-municipal-income-fund.htm,544722752,-0.05,N/A,0.036,1.0035049,N/A,0.023120001,-0.0038299998
"Affinity Bancshares, Inc.",AFBI,Financial Services,Banks - Regional,109082712,17.0,6718,https://myaffinitybank.com,99524672,0.92,N/A,N/A,0.88467944,N/A,0.0067299996,0.05017
"AFC Gamma, Inc.",AFCG,Real Estate,REIT - Specialty,252965296,12.24,157769,https://www.afcgamma.com,318829920,0.52,2.16,0.15689999,0.8143712,N/A,0.023529999,0.03353
"American Financial Group, Inc.",AFG,Financial Services,Insurance - Property & Casualty,11200438272,133.55,163472,https://www.afginc.com,11763434496,10.44,11.84,0.021300001,2.6413116,8.918,0.026530001,0.21562
"American Financial Group, Inc. ",AFGB,N/A,N/A,N/A,N/A,14438,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"American Financial Group, Inc. ",AFGC,N/A,N/A,21039104,N/A,5212,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"American Financial Group, Inc. ",AFGD,N/A,N/A,N/A,22.71,7242,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"American Financial Group, Inc. ",AFGE,N/A,N/A,N/A,18.96,3048,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Aimei Health Technology Co., Lt",AFJK,Financial Services,Shell Companies,93058064,10.31,670,N/A,92644312,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Aimei Health Technology Co., Lt",AFJKU,Financial Services,Shell Companies,N/A,10.43,100,N/A,93727432,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AFLAC Incorporated,AFL,Financial Services,Insurance - Life,50213781504,88.37,1576869,https://www.aflac.com,53535817728,9.09,6.9,0.0226,2.1411092,8.469,0.030250002,0.24699
Affimed N.V.,AFMD,Healthcare,Biotechnology,79944376,5.25,25865,https://www.affimed.com,60766180,-7.72,-4.04,N/A,1.362221,-0.592,-0.43498,-1.0054799
Forafric Global PLC,AFRI,Consumer Defensive,Farm Products,300240672,11.17,3204,https://forafric.com,481397696,-0.47,N/A,N/A,13.17217,78.2,0.0023,-0.33731997
Forafric Global PLC Warrants,AFRIW,Consumer Defensive,Farm Products,N/A,1.25,27326,https://forafric.com,N/A,-0.023,N/A,N/A,4.416961,N/A,0.0023,-0.33731997
"Affirm Holdings, Inc.",AFRM,Technology,Software - Infrastructure,10457699328,33.83,11763513,https://www.affirm.com,15015074816,-2.22,-1.58,N/A,3.978596,-27.4,-0.05799,-0.26432
Apollo Senior Floating Rate Fun,AFT,Financial Services,Asset Management,233448256,14.99,90959,https://www.agmfunds.com/InvestmentInformation/SeniorFloatingRateFund.aspx,331399712,2.31,N/A,0.1121,0.99727225,N/A,0.05574,0.15804
Afya Limited,AFYA,Consumer Defensive,Education & Training Services,1744118784,19.39,113691,https://www.afya.com.br,3799100160,0.84,1.72,N/A,0.48427778,3.914,0.0659,0.11763
First Majestic Silver Corp.,AG,Basic Materials,Silver,2311119616,7.94,16941848,https://www.firstmajestic.com,2413488128,-0.16,0.16,0.0019,1.7020365,-85.96,-0.0146200005,-0.03596
Allied Gaming & Entertainment I,AGAE,Communication Services,Entertainment,33984488,0.77,10136,https://www.alliedgaming.gg,-11904592,-0.1,N/A,N/A,0.3425267,2.334,-0.039330002,-0.03966
AGBA Group Holding Limited,AGBA,Financial Services,Capital Markets,183024000,2.46,1652409,https://www.agba.com,217285104,-0.75,N/A,N/A,66.48649,-6.017,-0.28574,-16.15473
AGBA Acquisition Limited,AGBAW,Financial Services,Capital Markets,N/A,0.1724,99123,https://www.agba.com,N/A,N/A,N/A,N/A,N/A,N/A,-0.28574,-16.15473
AGCO Corporation,AGCO,Industrials,Farm & Heavy Construction Machinery,8209637376,110.02,873685,https://www.agcocorp.com,9613037568,14.78,12.04,0.0105,1.726481,5.092,0.08194,0.24903
abrdn Global Dynamic Dividend F,AGD,N/A,N/A,243926640,9.81,53943,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Agenus Inc.,AGEN,Healthcare,Biotechnology,228052384,10.86,428641,https://www.agenusbio.com,277914976,11.6,-8.84,N/A,N/A,-2.244,-0.25814,N/A
Agrify Corporation,AGFY,Industrials,Farm & Heavy Construction Machinery,4735544,0.3328,1590525,https://www.agrify.com,27615140,-12.51,-3.26,N/A,N/A,-1.512,-0.21917,N/A
Alamos Gold Inc.,AGI,Basic Materials,Gold,6801119744,17.09,3721177,https://www.alamosgold.com,6544614400,0.52,0.88,0.0058999998,2.295192,12.625,0.052360002,0.07116
"Agios Pharmaceuticals, Inc.",AGIO,Healthcare,Biotechnology,1949584768,34.34,654883,https://www.agios.com,1419939712,-6.31,-5.71,N/A,2.6197743,-3.671,-0.24547,-0.3961
"agilon health, inc.",AGL,Healthcare,Medical Care Facilities,2224927488,5.41,5008797,https://www.agilonhealth.com,1853024256,-0.49,-0.17,N/A,3.2240763,-8.43,-0.06617,-0.22816
Federal Agricultural Mortgage C,AGM,Financial Services,Credit Services,1921012224,181.84,27695,https://www.farmermac.com,29648328704,16.4,17.94,0.0308,1.9847194,N/A,0.00716,0.14911
AGM Group Holdings Inc.,AGMH,Technology,Computer Hardware,26316458,1.085,175357,https://www.agmprime.com,32221146,0.45,N/A,N/A,0.6098932,1.776,0.08249,0.33165002
AGNC Investment Corp.,AGNC,Real Estate,REIT - Mortgage,7196597248,9.9,6031857,https://www.agnc.com,45929598976,0.95,2.0,0.1455,1.0269709,N/A,0.01086,0.09151
AGNC Investment Corp. - Deposit,AGNCL,Real Estate,REIT - Mortgage,N/A,23.4,17736,https://www.agnc.com,55743143936,N/A,N/A,0.0828,2.4273858,N/A,0.01086,0.09151
AGNC Investment Corp. - Deposit,AGNCM,Real Estate,REIT - Mortgage,8944253952,25.16,29407,https://www.agnc.com,57022537728,-1.86,N/A,0.0683,2.6099584,N/A,0.01086,0.09151
AGNC Investment Corp. - Deposit,AGNCN,Real Estate,REIT - Mortgage,8843863040,25.75,11685,https://www.agnc.com,57451425792,-1.86,N/A,0.104899995,2.6711617,N/A,0.01086,0.09151
AGNC Investment Corp. - Deposit,AGNCO,Real Estate,REIT - Mortgage,N/A,24.82,53175,https://www.agnc.com,56775385088,-1.86,N/A,0.0655,2.5746887,N/A,0.01086,0.09151
AGNC Investment Corp. - Deposit,AGNCP,Real Estate,REIT - Mortgage,N/A,24.17,40845,https://www.agnc.com,56302878720,-1.86,N/A,0.0634,2.5072613,N/A,0.01086,0.09151
Assured Guaranty Ltd.,AGO,Financial Services,Insurance - Specialty,4205169408,77.24,276620,https://www.assuredguaranty.com,3893515776,12.85,6.54,0.0161,0.7555216,9.746,0.01723,0.14004
"Avangrid, Inc.",AGR,Utilities,Utilities - Regulated Electric,13870437376,35.84,3369552,https://www.avangrid.com,27915720704,2.31,2.4,0.049099997,0.6976563,12.228,0.01579,0.0373
AgriFORCE  Growing Systems Ltd.,AGRI,Consumer Defensive,Farm Products,2610236,0.1033,40638087,https://agriforcegs.com,2644267,-505.5,0.25,N/A,0.07046385,-0.333,-0.27478,-1.22814
AgriFORCE  Growing Systems Ltd. Warrant,AGRIW,Consumer Defensive,Farm Products,N/A,0.0058,8650,https://agriforcegs.com,N/A,-0.76,N/A,N/A,0.003956344,N/A,-0.27478,-1.22814
Adecoagro S.A.,AGRO,Consumer Defensive,Farm Products,1074673152,10.32,1743138,https://www.adecoagro.com,2138521216,2.11,1.09,0.0323,0.7862857,5.403,0.03735,0.19201
"PlayAGS, Inc.",AGS,Consumer Cyclical,Gambling,456094048,11.56,381493,https://www.playags.com,961174592,0.12,0.59,N/A,6.241901,6.399,0.06205,0.07986
"Argan, Inc.",AGX,Industrials,Engineering & Construction,880345216,65.94,61268,https://www.arganinc.com,465966592,2.39,4.46,0.0182,3.0013657,11.99,0.0419,0.113170005
"Agilysys, Inc.",AGYS,Technology,Software - Application,2736047360,99.94,279504,https://www.agilysys.com/en/,2569638144,3.17,1.72,N/A,11.377504,122.114,0.033239998,0.45218
AdaptHealth Corp.,AHCO,Healthcare,Medical Devices,1329355904,9.98,525701,https://adapthealth.com,3559967488,-5.27,0.98,N/A,0.88248295,5.327,0.03658,-0.38069
Akso Health Group,AHG,Healthcare,Medical Distribution,103118856,0.703,135180,https://www.xiaobaimaimai.com,49105200,-0.81,N/A,N/A,3.0833333,N/A,-0.54126,-2.33193
"Armada Hoffler Properties, Inc.",AHH,Real Estate,REIT - Diversified,1036983104,11.68,332484,https://www.armadahoffler.com,2695705856,0.09,-0.17,0.070199996,1.9544847,15.967,0.01962,0.02382
144614,AHL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"American Healthcare REIT, Inc.",AHR,Real Estate,REIT - Healthcare Facilities,1724992512,14.5,529613,https://www.americanhealthcarereit.com,3313757184,N/A,N/A,0.069,N/A,11.288,0.01028,-0.02803
Ashford Hospitality Trust Inc,AHT,Real Estate,REIT - Hotel & Motel,60298416,1.3,247348,https://www.ahtreit.com,3440120576,-3.13,-3.84,N/A,N/A,11.759,0.01793,N/A
"C3.ai, Inc.",AI,Technology,Software - Application,3220872960,26.39,4027866,https://www.c3.ai,2503781632,-2.33,-0.4,N/A,3.5744276,-8.399,-0.17907,-0.29448998
Apollo Tactical Income Fund Inc,AIF,Financial Services,Asset Management,213832608,14.78,73557,https://www.agmfunds.com/InvestmentInformation/TacticalIncomeFund.aspx,318909568,2.4,1.06,0.1169,1.0009481,N/A,0.05815,0.16747
"American International Group, I",AIG,Financial Services,Insurance - Diversified,53451816960,80.54,5749595,https://www.aig.com,64222822400,6.69,7.89,0.0199,1.2456887,5.814,0.00822,0.11665
Aesthetic Medical International,AIH,Healthcare,Medical Care Facilities,23846212,0.499,7415,https://ir.aihgroup.net,218848576,-0.12,0.41,N/A,0.48778105,-32.723,-0.055120002,N/A
Senmiao Technology Limited,AIHS,Financial Services,Credit Services,8611236,0.9,4290,https://www.senmiaotech.com,12055627,-0.45,N/A,N/A,3.8461537,-3.151,-0.22295,-0.53578997
"iLearningEngines, Inc.",AILE,Technology,Software - Infrastructure,911047488,6.75,33901,https://ilearningengines.com,1008191296,N/A,0.25,N/A,N/A,52.743,0.14055,N/A
N/A,AILEW,Technology,Software - Infrastructure,N/A,0.46,171041,https://ilearningengines.com,N/A,N/A,N/A,N/A,N/A,N/A,0.14055,N/A
AIM ImmunoTech Inc.,AIM,Healthcare,Biotechnology,20507984,0.403,268367,https://aimimmuno.com,8277510,-0.6,-0.44,N/A,2.0773196,-0.261,-0.66637003,-1.18936
Aimfinity Investment Corp. I,AIMAU,Financial Services,Shell Companies,N/A,11.22,1,N/A,29677950,-0.003,N/A,N/A,1020.0,N/A,-0.0129700005,N/A
Aimfinity Investment Corp. I Wa,AIMAW,Financial Services,Shell Companies,N/A,0.0265,600,N/A,N/A,-0.003,N/A,N/A,2.409091,N/A,-0.0129700005,N/A
"Ainos, Inc.",AIMD,Healthcare,Medical Devices,6535672,1.04,11566,https://www.ainos.com,10000418,-3.36,N/A,N/A,0.19900498,-1.243,-0.23422001,-0.4662
AINOS INC C/WTS 29/07/2027 (TO ,AIMDW,Healthcare,Medical Devices,N/A,0.05,10692,https://www.ainos.com,N/A,N/A,N/A,N/A,0.08012821,N/A,-0.23422001,-0.4662
Albany International Corporatio,AIN,Consumer Cyclical,Textile Manufacturing,2814399488,90.1,70244,https://www.albint.com,3130917888,3.56,4.62,0.0115,2.9089851,11.923,0.06552,0.1196
Ashford Inc. (Holding Company),AINC,Financial Services,Asset Management,16572116,4.83,27600,https://www.ashfordinc.com,614521408,-13.69,6.83,N/A,N/A,13.09,0.01437,-0.02611
AllianzGI Artificial Intelligen,AIO,N/A,N/A,683042496,19.89,63805,N/A,N/A,-2.46,N/A,0.1116,N/A,N/A,N/A,N/A
"Arteris, Inc.",AIP,Technology,Semiconductors,313219872,8.14,152835,https://www.arteris.com,274150208,-1.02,-0.31,N/A,32.690765,-8.509,-0.21279,-1.80384
AAR Corp.,AIR,Industrials,Aerospace & Defense,2523826432,71.24,93559,https://www.aarcorp.com,2761574144,1.69,4.14,N/A,2.1259327,14.346,0.05382,0.054029997
Apartment Income REIT Corp.,AIRC,Real Estate,REIT - Residential,5618426880,38.72,3221632,https://www.aircommunities.com,9132667904,4.3,0.18,0.0465,2.467185,20.853,0.01089,0.28612
reAlpha Tech Corp.,AIRE,Real Estate,Real Estate Services,42798440,0.97,698577,https://www.realpha.com,38082076,N/A,N/A,N/A,N/A,-3.84,N/A,N/A
"Airgain, Inc.",AIRG,Technology,Communication Equipment,55503612,5.15,17928,https://www.airgain.com,49542456,-1.2,0.28,N/A,1.7160947,-5.649,-0.16041,-0.34890997
Air Industries Group,AIRI,Industrials,Aerospace & Defense,18333996,5.53,98422,https://www.airindustriesgroup.com,47937348,-0.65,-0.16,N/A,1.2024354,23.304,-0.0035299999,-0.13307
Montana Technologies Corp,AIRJ,Industrials,Building Products & Equipment,715312960,13.29,42241,https://mt.energy,N/A,N/A,N/A,N/A,N/A,N/A,-2.39232,N/A
N/A,AIRJW,Industrials,Building Products & Equipment,N/A,0.984,32999,https://mt.energy,N/A,N/A,N/A,N/A,N/A,N/A,-2.39232,N/A
"AirSculpt Technologies, Inc.",AIRS,Healthcare,Medical Care Facilities,268276192,4.66,45082,https://elitebodysculpture.com,356173984,0.02,0.32,N/A,3.2115781,12.102,0.05673,0.019709999
"Air T, Inc.",AIRT,Industrials,Integrated Freight & Logistics,65063788,23.06,13201,https://www.airt.net,187961888,-5.0,N/A,N/A,9.435351,-76.129,-0.01911,-0.48599997
"Air T, Inc. - Trust Preferred S",AIRTP,Industrials,Integrated Freight & Logistics,400604160,16.6301,1115,https://www.airt.net,169819888,0.336,N/A,0.120299995,6.80446,-68.781,-0.01911,-0.48599997
"Airship AI Holdings, Inc",AISP,Technology,Software - Infrastructure,100973680,4.36,697200,https://www.airshipai.ai,104504048,N/A,N/A,N/A,N/A,-17.238,-0.94158,N/A
N/A,AISPW,Technology,Software - Infrastructure,N/A,0.3705,100145,https://www.airshipai.ai,N/A,N/A,N/A,N/A,N/A,N/A,-0.94158,N/A
Applied Industrial Technologies,AIT,Industrials,Industrial Distribution,7604326400,196.99,114600,https://www.applied.com,7744765440,9.53,10.14,0.0075,4.5605874,14.46,0.11054,0.24559
AI TRANSPORTATION ACQUISITION C,AITR,Financial Services,Shell Companies,80963960,10.33,19,N/A,80673608,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AI TRANSPORTATION ACQUISITION C,AITRR,N/A,N/A,N/A,0.1771,3003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AI TRANSPORTATION ACQUISITION C,AITRU,Financial Services,Shell Companies,N/A,10.43,3,N/A,81457384,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Meta Data Limited,AIU,Consumer Defensive,Education & Training Services,41419816,0.5381,21570,https://www.aiumeta.com,64908592,0.24,7.5,N/A,8.679032,N/A,0.099580005,N/A
Apartment Investment and Manage,AIV,Real Estate,REIT - Residential,1197719424,8.27,546805,https://www.aimco.com,2625781248,-1.17,-0.17,N/A,3.4530272,31.437,0.00333,-0.23443002
XIAO-I Corporation,AIXI,Technology,Software - Application,79544712,1.09,231747,https://www.xiaoi.com,66296764,-0.37,N/A,N/A,N/A,-3.116,-0.21591,N/A
"Assurant, Inc.",AIZ,Financial Services,Insurance - Specialty,9128707072,175.6,372774,https://www.assurant.com,9735206912,14.29,17.07,0.0164,1.8567668,7.563,0.020569999,0.16429001
"Assurant, Inc. 5.25% Subordinat",AIZN,N/A,N/A,N/A,N/A,13351,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arthur J. Gallagher & Co.,AJG,Financial Services,Insurance Brokers,56305020928,257.67,509409,https://www.ajg.com,63201796096,4.92,11.31,0.0093,4.9820185,19.872,0.02874,0.10302
Great Ajax Corp.,AJX,Real Estate,REIT - Mortgage,132768968,3.59,75242,https://www.greatajax.com,1001053376,-4.08,0.45,0.0669,0.52225775,N/A,-0.08464,-0.38582
a.k.a. Brands Holding Corp.,AKA,Consumer Cyclical,Internet Retail,274389824,26.17,7449,https://www.aka-brands.com,402328384,-9.2,-1.31,N/A,2.0316746,112.634,-0.0217,-0.52973
"Akamai Technologies, Inc.",AKAM,Technology,Software - Infrastructure,14502100992,95.21,2239333,https://www.akamai.com,17400328192,4.01,6.76,N/A,3.131599,15.663,0.048060004,0.14218001
Akanda Corp.,AKAN,Healthcare,Drug Manufacturers - Specialty & Generic,5525875,0.1726,544035287,https://www.akandacorp.com,4775736,-7.16,N/A,N/A,N/A,-0.828,-0.26264998,-2.7978601
"Akebia Therapeutics, Inc.",AKBA,Healthcare,Biotechnology,241035392,1.15,2347527,https://www.akebia.com,290353824,-0.22,-0.33,N/A,N/A,78.241,-0.084309995,N/A
"Akili, Inc.",AKLI,Healthcare,Health Information Services,33501488,0.4256,162199,https://www.akiliinteractive.com,-24673172,-0.76,-0.46,N/A,0.56974566,0.384,-0.35834998,-0.70318
N/A,AKO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Acadia Realty Trust,AKR,Real Estate,REIT - Retail,1904510848,17.29,459068,https://www.acadiarealty.com,4026689536,0.09,0.31,0.0416,1.0128882,21.582,0.00721,-0.013710001
"Akero Therapeutics, Inc.",AKRO,Healthcare,Biotechnology,1377487872,19.92,433780,https://akerotx.com,509643072,-3.24,-4.24,N/A,1.627717,-2.498,-0.20228,-0.31107
"Akoustis Technologies, Inc.",AKTS,Technology,Communication Equipment,35146004,0.3562,1414629,https://www.akoustis.com,64460000,-1.0,-0.41,N/A,0.83811766,-1.0,-0.37012002,-1.0805
Akari Therapeutics Plc,AKTX,Healthcare,Biotechnology,12044024,1.52,20154,https://www.akaritx.com,24086726656,-2.04,-3.4,N/A,N/A,-1324.538,-2.10953,N/A
"Akoya BioSciences, Inc.",AKYA,Healthcare,Medical Instruments & Supplies,140750672,2.85,400377,https://www.akoyabio.com,164363808,-1.42,-0.63,N/A,4.2986426,-3.494,-0.22594,-1.8171699
Air Lease Corporation,AL,Industrials,Rental & Leasing Services,5487052288,49.27,602195,https://www.airleasecorp.com,24412721152,4.95,5.17,0.017,0.7587354,N/A,0.029089998,0.08497
"Astera Labs, Inc.",ALAB,Technology,Semiconductors,11288322048,72.5,1202370,https://www.asteralabs.com,10489286656,N/A,0.63,N/A,13.936947,-114.638,N/A,N/A
Alarum Technologies Ltd.,ALAR,Technology,Software - Infrastructure,163110336,25.37,253577,https://www.alarum.io,1585551616,-1.4,1.54,N/A,114.79639,440.553,0.09741,-0.42330003
Albemarle Corporation,ALB,Basic Materials,Specialty Chemicals,15410140160,131.12,2276543,https://www.albemarle.com,19524556800,2.75,7.79,0.012200001,1.6574599,-61.573,-0.02676,0.03862
Avalon GloboCare Corp.,ALBT,Real Estate,Real Estate Services,3093713,0.2786,25965,https://www.avalon-globocare.com,31313940,-1.59,N/A,N/A,N/A,-2.012,-0.48878,-1.8034599
Alcon Inc.,ALC,Healthcare,Medical Instruments & Supplies,43814866944,88.83,626668,https://www.alcon.com,47859552256,2.11,3.5,0.003,2.108674,21.309,0.023810001,0.05151
"Alternus Clean Energy, Inc.",ALCE,Utilities,Utilities - Renewable,26689566,0.3333,56273,https://alternusenergy.com,265977056,N/A,N/A,N/A,N/A,-17.598,-0.058790002,N/A
"Alico, Inc.",ALCO,Consumer Defensive,Farm Products,207987632,27.28,12776,https://www.alicoinc.com,291373760,5.24,-0.37,0.0073,0.7649814,-55.174,-0.03097,0.15338
Alchemy Investments Acquisition,ALCY,Financial Services,Shell Companies,159884944,10.68,50402,N/A,159575200,0.31,N/A,N/A,N/A,N/A,-0.00674,N/A
Alchemy Investments Acquisition,ALCYW,N/A,N/A,N/A,N/A,4392,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Aldeyra Therapeutics, Inc.",ALDX,Healthcare,Biotechnology,234687280,3.95,214911,https://www.aldeyra.com,167307616,-0.51,-0.57,N/A,2.0691462,-4.763,-0.1429,-0.23944001
"Allete, Inc.",ALE,Utilities,Utilities - Diversified,3621431040,62.8,634066,https://www.allete.com,5978329088,4.16,4.11,0.044899996,1.2828369,13.371,0.01795,0.052699998
"Alector, Inc.",ALEC,Healthcare,Biotechnology,524332224,5.44,529526,https://www.alector.com,-193982,-1.39,-1.74,N/A,2.9310346,0.001,-0.13128,-0.66651
"Alexander & Baldwin, Inc.",ALEX,Real Estate,REIT - Retail,1234065664,17.0,218734,https://www.alexanderbaldwin.com,1672846464,0.71,0.75,0.052399997,1.2262858,14.253,0.02974,0.050669998
"Alamo Group, Inc.",ALG,Industrials,Farm & Heavy Construction Machinery,2325072384,194.24,48046,https://www.alamo-group.com,2559067392,11.25,13.1,0.0054,2.4191701,10.426,0.08306,0.1517
"Allegro MicroSystems, Inc.",ALGM,Technology,Semiconductors,5726185984,29.65,930461,https://www.allegromicro.com/en,5769264640,0.78,1.13,N/A,5.0657783,18.456,0.111190006,0.14571
"Align Technology, Inc.",ALGN,Healthcare,Medical Devices,20438980608,271.5,577654,https://www.aligntech.com,19666487296,6.05,10.98,N/A,5.4360886,24.078,0.07021,0.1277
"Aligos Therapeutics, Inc.",ALGS,Healthcare,Biotechnology,53778668,0.6885,884252,https://www.aligos.com,-64787868,-1.36,-0.63,N/A,0.5615824,0.755,-0.36635,-0.89476997
Allegiant Travel Company,ALGT,Industrials,Airlines,965947264,52.98,234644,https://www.allegiantair.com,2472102656,3.13,7.34,0.045300003,0.7082414,7.058,0.02416,0.046680003
"Alignment Healthcare, Inc.",ALHC,Healthcare,Healthcare Plans,1388097536,7.26,897376,https://www.alignmenthealth.com,1257944448,-0.84,-0.52,N/A,10.59854,-11.25,-0.12055001,-0.88425004
"Alimera Sciences, Inc.",ALIM,Healthcare,Drug Manufacturers - Specialty & Generic,167643200,3.2,43421,https://alimerasciences.com,227063600,-0.84,0.18,N/A,3.6281178,33.318,-0.012309999,-1.5875701
"Alight, Inc.",ALIT,Technology,Software - Application,4624209408,8.05,6176738,https://www.alight.com,7122301952,-0.76,0.84,N/A,0.9796763,15.058,0.0027200002,-0.08404
"Alaska Air Group, Inc.",ALK,Industrials,Airlines,5493154816,43.29,1452951,https://www.alaskaair.com,7036147712,1.89,6.31,N/A,1.3683347,5.615,0.03349,0.06392
